,Country,Year,Primary Enrollment,GDP per Capita,,
0,Philippines,2001,12759918.0,990.565991,,
1,Philippines,2002,12826218.0,1036.158331,,
2,Philippines,2003,12970635.0,1048.008205,,
3,Philippines,2004,13017973.0,1121.490006,,
4,Philippines,2005,13083744.0,1244.348741,,
5,Philippines,2006,13006648.0,1452.438089,,
6,Philippines,2007,13145210.0,1744.639979,,
7,Philippines,2008,13411286.0,1998.026920,,
8,Philippines,2009,13686643.0,1904.196388,,
9,Philippines,2010,NaN,2217.472153,,
10,Philippines,2011,NaN,2450.735694,,
11,Philippines,2012,NaN,2694.305109,,
12,Philippines,2013,NaN,2871.429701,,
13,Philippines,2014,14460377.0,2959.645435,,
14,Philippines,2015,14453060.0,3001.043182,,
15,Philippines,2016,14293635.0,3073.654686,,
16,Philippines,2017,14039867.0,3123.245642,,
17,Philippines,2018,13418841.0,3252.110274,,
18,Philippines,2019,13195088.0,3485.340844,,
19,Philippines,2020,13214472.0,3301.218603,,
